NPA,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2015,Home_Ownership_moe_2015,Residential_Occupancy_2014,Residential_Occupancy_moe_2014,Rental_Costs_2014,Rental_Costs_moe_2014
446,0.8,532,0.8,525,0.7,499,0.7,482,0.7,481,100,531,94,494,100,499,100,482,100,481,1906,1933,1909,1910,1907,19,17,18,16,15,20,99,19,97,17,83,0.43,3,0.72,5,1.87,13,4.73,33,1.58,11,0,0,0,0,0.43,3,0.86,6,1.43,10,5.16,36,1.86,13,0.72,5,0.43,3,0,0,2,10,1,5,2.3,11,173051,222180,,,,,,,,,0,0,73,10,100,0,1326,138
447,0.8,1010,0.8,965,0.8,925,0.8,909,0.7,875,91,917,91,881,91,843,91,827,92,806,2216,2272,2163,2151,2136,15,14,14,13,11,19,171,19,158,17,139,12.82,156,6.25,76,4.52,55,2.55,31,1.31,16,1.23,15,1.97,24,0.82,10,3.21,39,1.07,13,0.9,11,0.33,4,1.15,14,1.73,21,0.1,1,1,9,0.8,7,0.9,8,192234,173363,,,,,,,,,0,0,86,9,96,3,1491,168
448,2,1630,1.9,1599,1.8,1535,1.8,1493,1.6,1300,28,457,28,442,29,443,29,439,32,420,2451,2449,2446,2454,2428,15,15,14,12,11,11,50,10,45,9,40,0.6,5,1.44,12,1.2,10,8.88,74,4.2,35,26.41,220,4.44,37,1.32,11,1.2,10,0.6,5,0.96,8,2.52,21,6.37,53,3,25,0,0,0.1,1,0.4,3,0.8,5,252182,196016,,,,,,,,,0,0,38,6,89,6,1061,56
449,0.9,940,0.8,929,0.9,939,0.8,934,0.8,926,82,769,81,750,82,768,82,763,82,758,4247,4288,4114,4096,4054,22,21,21,20,18,16,119,18,137,18,141,5.2,53,0.59,6,0.54,6,1.62,18,0.54,6,0.09,1,0.45,5,4.61,47,4.9,50,7.58,84,3.07,34,2.26,25,2.26,25,2.26,25,0.2,2,0.3,3,0.5,5,0.4,4,732445,747719,,,,,,,,,0,0,83,7,88,3,1648,251
450,0.2,1370,0.2,1355,0.2,1326,0.2,1282,0.2,1235,100,1370,99,1338,100,1326,100,1282,100,1235,2812,2846,2800,2795,2797,20,19,18,17,16,14,183,15,194,15,189,0.22,17,0.19,15,0.26,20,0.56,43,0.65,50,0.27,21,0.22,17,0.31,24,0.27,21,0.32,25,0.31,24,0.22,17,0.12,9,0.3,23,0,0,0.4,5,0.6,7,0.7,9,287668,269973,,,,,,,,,0,0,90,5,94,2,2619,1578
451,0.5,1414,0.4,1355,0.4,1310,0.4,1226,0.4,1132,95,1343,95,1285,95,1250,96,1180,96,1086,3487,3489,3383,3384,3386,16,16,15,14,13,,,,,,,1.32,40,1.32,40,2.15,65,2.45,74,2.61,79,1.42,43,1.02,31,1.65,50,1.69,51,1.12,34,1.62,49,1.29,39,1.45,44,1.32,40,0.1,2,0.2,3,0.3,4,0.4,5,411039,364032,,,,,,,,,0,0,93,4,99,2,868,318
452,0.5,604,0.5,604,0.5,602,0.5,606,0.4,519,100,604,100,602,100,602,100,606,100,519,1975,1976,1972,1973,1848,30,30,29,28,30,25,150,25,153,27,165,0.08,1,0,0,0.42,5,0.17,2,0.17,2,4.97,59,2.53,30,1.01,12,1.01,12,0.59,7,0.34,4,0.51,6,3.04,36,1.01,12,0,0,0.9,5,0.5,3,0.2,1,191339,183500,,,,,,,,,0,0,81,5,100,0,1120,612
453,1.3,915,1.3,916,1.3,917,1.3,917,1.3,919,44,399,44,400,44,401,44,401,44,403,1280,1279,1282,1277,1280,63,62,61,59,57,43,173,44,177,44,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,9,1.52,11,1.25,9,0.69,5,0.97,7,1.11,8,0.69,5,0.3,2,0.5,3,1.3,8,1,6,164853,170058,,,,,,,,,0,0,50,12,97,1,900,70
454,0.2,541,0.2,541,0.2,541,0.2,540,0.2,543,100,541,100,540,100,541,100,540,100,543,2519,2512,2508,2504,2493,32,31,30,28,27,18,97,17,93,18,96,0.22,5,0,0,0,0,0,0,0,0,0.04,1,0,0,0.4,9,0.44,10,0.27,6,0.53,12,0.22,5,0.27,6,0.27,6,0.4,2,0.6,3,0.7,4,1.3,7,310043,298981,,,,,,,,,0,0,92,7,95,7,1057,646
455,0.5,757,0.5,755,0.5,753,0.5,753,0.5,752,86,654,86,651,86,650,86,650,86,650,2340,2340,2337,2332,2334,30,29,28,26,24,13,86,13,82,13,86,0.06,1,0.13,2,0.19,3,0,0,0,0,0,0,0,0,0.51,8,0.45,7,0.96,15,0.57,9,0.45,7,0.45,7,0.57,9,0.1,1,0.1,1,0.5,4,0.8,6,263282,247848,,,,,,,,,0,0,85,7,100,0,,
456,1.5,399,2,547,2,546,2,552,0.7,200,22,89,17,94,17,94,18,100,51,102,1749,1772,1780,1782,1783,60,60,59,57,55,49,46,46,43,49,49,6.62,18,53.71,146,0,0,0,0,0.74,2,0,0,0,0,1.47,4,1.1,3,0.74,2,0.37,1,2.21,6,1.84,5,0.37,1,0,0,0,0,1.1,2,0,0,262900,248441,,,,,,,,,0,0,38,11,100,0,2342,138
457,1.3,367,1.3,365,1.3,365,1.3,366,1.3,366,100,367,100,365,100,365,100,366,100,366,2584,2574,2558,2554,2554,31,30,30,28,26,7,24,6,21,5,18,0,0,0,0,1.07,3,0,0,0,0,0,0,0,0,1.07,3,4.29,12,3.93,11,2.15,6,3.93,11,2.5,7,3.58,10,0.3,1,0.3,1,0,0,0.3,1,312935,273905,,,,,,,,,0,0,97,6,100,0,,
458,1.4,394,1.4,394,1.4,394,1.4,394,1.4,392,100,394,100,394,100,394,100,394,100,392,2279,2279,2278,2264,2260,24,23,22,20,18,18,69,17,65,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,9,1.81,5,1.81,5,3.25,9,1.81,5,0.72,2,1.81,5,0.3,1,0.8,3,0.8,3,0.5,2,245597,216672,,,,,,,,,0,0,89,15,100,0,,
459,1,975,1,974,1,975,1,975,1,975,92,895,92,892,92,895,92,895,92,895,2057,2056,2053,2054,2052,26,25,24,22,20,12,103,11,101,11,94,0,0,0,0,0.1,1,0,0,0.1,1,0.1,1,0,0,1,10,1.4,14,1.3,13,0.5,5,0.9,9,0.5,5,0.5,5,0.6,6,1,10,1.1,11,1.5,15,180052,169234,,,,,,,,,0,0,93,7,98,3,1050,277
460,1,1082,1,1083,1,1084,1,1072,1,1057,94,1013,93,1012,94,1015,94,1003,93,988,1866,1873,1870,1867,1841,31,30,29,27,26,19,197,20,200,20,200,1.02,11,0.19,2,0.09,1,0.28,3,0.84,9,0.65,7,1.67,18,1.58,17,1.58,17,0.74,8,1.39,15,1.21,13,0.65,7,1.49,16,0.2,2,0.7,7,0.6,6,0.8,8,181500,201116,,,,,,,,,0,0,80,8,96,2,1073,85
462,0.3,860,0.2,805,0.2,762,0.2,744,0.2,693,100,860,98,788,100,762,100,744,100,693,2360,2310,2192,2164,2095,25,26,27,27,27,27,211,27,205,32,236,2.55,88,1.59,55,2.26,78,1.42,49,0.9,31,0.69,24,0.78,27,0.29,10,0.41,14,0.26,9,0.35,12,0.09,3,0.26,9,0.12,4,0,0,0.6,4,0.4,3,0.8,5,277667,294048,,,,,,,,,0,0,51,8,97,3,879,250
463,2,1077,1.9,1009,1.9,1009,1.9,1011,1.9,1002,38,406,40,406,40,406,40,408,41,408,1801,1801,1800,1785,1780,34,33,32,30,28,20,83,19,79,21,84,0,0,0,0,0,0,0,0,0,0,0,0,0.38,2,1.13,6,0.94,5,0.94,5,1.32,7,1.51,8,1.88,10,1.51,8,0,0,1.4,6,0.7,3,0.9,4,181217,166132,,,,,,,,,14,146,34,9,85,13,793,83
464,1.7,1433,1.5,1274,1.5,1273,1.5,1273,1.4,1225,82,1182,92,1175,93,1182,93,1182,93,1137,2594,2597,2591,2590,2605,19,18,17,15,13,13,149,13,151,11,126,0.12,1,0.12,1,55.7,474,0,0,0.47,4,3.53,30,5.52,47,2.82,24,1.88,16,3.05,26,3.05,26,2.47,21,4.23,36,4.58,39,0.2,2,0.5,6,0.3,4,0.7,8,295305,257122,,,,,,,,,0,0,92,4,96,3,1460,178
465,1.6,495,1.6,495,1.6,495,1.6,495,1.6,495,52,255,52,255,52,255,52,255,52,255,2134,2133,2133,2133,2127,25,24,23,21,19,9,22,9,23,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,7,2.93,9,1.96,6,1.3,4,0.65,2,0.33,1,0.65,2,0.4,1,0.4,1,0.4,1,0.8,2,197346,208789,,,,,,,,,0,0,55,8,81,2,897,111
466,0.3,967,0.3,960,0.3,949,0.3,941,0.3,932,91,879,88,849,91,861,91,853,91,844,2140,2163,2140,2141,2138,25,24,24,22,20,25,215,24,209,23,193,0.14,4,0.17,5,0.42,12,0.38,11,0.45,13,0.1,3,0.03,1,0.59,17,0.35,10,0.14,4,0.35,10,0.21,6,0.24,7,0.31,9,0.3,3,1.7,16,1.9,18,0.8,7,189878,189276,,,,,,,,,0,0,84,13,97,6,976,309
467,1.4,712,1.4,713,1.4,711,1.4,711,1.3,679,94,670,94,671,94,669,94,669,94,637,2381,2382,2379,2380,2380,19,18,17,15,14,15,101,14,93,12,83,0,0,0,0,0,0,0,0,0.19,1,2.68,14,4.02,21,1.91,10,2.1,11,2.29,12,2.1,11,1.15,6,1.53,8,2.1,11,0,0,0.7,5,0.4,3,0.3,2,230471,224101,,,,,,,,,0,0,90,6,89,6,1521,372
468,0.1,86,0.1,86,0.1,88,0.1,87,0.1,87,90,77,88,76,90,79,90,78,90,78,2524,2510,2461,2470,2460,62,61,61,60,58,,,,,,,0.11,1,0.11,1,0,0,0,0,0,0,0,0,0,0,0.43,4,0.22,2,0.11,1,0.44,4,0.11,1,0.22,2,0.22,2,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,69,20,100,0,,
469,0.3,689,0.2,692,0.3,695,0.3,691,0.3,688,80,550,80,551,80,556,80,552,80,549,2829,2800,2777,2743,2709,24,23,23,21,19,,,,,,,0.14,4,0.11,3,0.07,2,0.04,1,0.14,4,0.04,1,0.04,1,0.87,24,0.58,16,0.68,19,0.57,16,0.54,15,0.83,23,0.75,21,0.3,2,0.3,2,0.7,5,0.4,3,396655,377236,,,,,,,,,5,32,86,7,97,4,1903,370
470,2.2,1032,2.1,1029,2.1,1029,2.1,1030,2.1,1029,47,487,47,484,47,484,47,485,47,485,3187,3160,3134,3116,3100,24,24,23,22,20,12,58,12,60,12,58,1.71,8,2.78,13,1.6,8,0.8,4,0.6,3,0.4,2,0.6,3,7.27,34,6.2,29,6.21,31,3.61,18,5.41,27,4.41,22,4.21,21,0,0,0.2,2,0.5,5,0.1,1,497378,361760,,,,,,,,,0,0,83,9,84,7,1089,144
471,2.3,1272,2.3,1270,2.3,1271,2.3,1275,2.3,1270,49,619,48,613,49,620,49,624,49,623,1779,1761,1742,1744,1738,39,38,38,36,35,39,241,40,249,42,261,0.71,4,29.69,167,1.78,10,0.53,3,0,0,0,0,0.36,2,3.02,17,1.07,6,1.42,8,2.13,12,0.89,5,1.42,8,0.18,1,0.1,1,0.4,3,0.4,3,0.6,5,190482,169657,,,,,,,,,0,0,47,12,88,8,1052,85
472,1.5,549,1.3,542,1.3,539,1.3,536,1.3,531,88,482,88,474,88,472,88,469,87,464,2984,2980,2925,2913,2915,26,25,25,23,22,21,101,21,99,20,95,2.4,9,2.14,8,2.21,9,2.21,9,1.47,6,0.49,2,0.25,1,4.01,15,6.14,23,5.66,23,4.67,19,4.18,17,4.67,19,3.2,13,0.4,2,0.6,3,0.2,1,1.7,9,442047,409188,,,,,,,,,0,0,83,5,73,4,1681,437
473,2.1,1049,2.1,1038,2.1,1042,2.1,1028,2.1,1017,48,503,48,494,48,498,48,498,48,493,1687,1647,1600,1598,1601,40,40,40,38,36,,,,,,,3.43,17,5.24,26,2.47,12,1.03,5,1.85,9,0.41,2,17.28,84,3.83,19,4.44,22,3.91,19,2.68,13,0.62,3,0.62,3,2.47,12,0.4,3,0.1,1,1,8,0.1,1,265500,250295,,,,,,,,,4,41,57,11,94,6,784,60
474,2.4,1155,2.3,1149,2.3,1149,2.3,1147,2.3,1144,54,621,53,611,54,615,53,613,53,611,2475,2457,2428,2419,2406,27,26,25,24,22,14,87,15,91,14,84,1.25,6,0.21,1,1.2,6,0.8,4,0.8,4,0.2,1,0.6,3,4.16,20,7.07,34,5.38,27,2.79,14,2.19,11,2.59,13,2.19,11,0.1,1,0.4,3,0.7,6,0.9,8,437398,324571,,,,,,,,,0,0,58,7,92,8,969,63
475,0.9,877,0.9,848,0.9,844,0.9,821,0.6,598,72,633,74,628,74,624,73,600,96,575,2995,2964,2889,2872,2856,42,42,42,41,41,,,,,,,1.06,10,0.95,9,1.16,11,4.23,40,2.85,27,0.85,8,1.16,11,2.75,26,1.37,13,4.75,45,4.23,40,4.02,38,2.32,22,3.49,33,0,0,0,0,0.2,1,0.2,1,490585,389919,,,,,,,,,0,0,83,8,98,4,827,353
